Category,Sub-category,3rd Level Category,4th Level Category,5th Level Category,Category ID
Women Clothes,Tops,Tanks & Camisoles,-,-,100350
Women Clothes,Tops,Tube Tops,-,-,100351
Women Clothes,Tops,T-shirts,-,-,100352
Women Clothes,Tops,Shirts & Blouses,-,-,100353
Women Clothes,Tops,Polo Shirts,-,-,100354
Women Clothes,Tops,Bodysuits,-,-,100355
Women Clothes,Pants & Leggings,Leggings & Treggings,-,-,100357
Women Clothes,Pants & Leggings,Pants,-,-,100358
Women Clothes,Shorts,Shorts,-,-,100360
Women Clothes,Shorts,Skorts,-,-,100361
Women Clothes,Skirts,-,-,-,100102
Women Clothes,Jeans,-,-,-,100103
Women Clothes,Dresses,-,-,-,100104
Women Clothes,Wedding Dresses,-,-,-,100105
Women Clothes,"Jumpsuits, Playsuits & Overalls",Jumpsuits,-,-,100363
Women Clothes,"Jumpsuits, Playsuits & Overalls",Playsuits,-,-,100364
Women Clothes,"Jumpsuits, Playsuits & Overalls",Overalls,-,-,100365
Women Clothes,"Jackets, Coats & Vests",Winter Jackets & Coats,-,-,100367
Women Clothes,"Jackets, Coats & Vests",Capes,-,-,100368
Women Clothes,"Jackets, Coats & Vests",Blazers,-,-,100369
Women Clothes,"Jackets, Coats & Vests",Jackets,-,-,100370
Women Clothes,"Jackets, Coats & Vests",Vests,-,-,100371
Women Clothes,Sweaters & Cardigans,-,-,-,100108
Women Clothes,Hoodies & Sweatshirts,Sweatshirts,-,-,100373
Women Clothes,Hoodies & Sweatshirts,Hoodies,-,-,100374
Women Clothes,Sets,Couple Sets,-,-,100376
Women Clothes,Sets,Family Sets,-,-,100377
Women Clothes,Sets,Individual Sets,-,-,100378
Women Clothes,Lingerie & Underwear,Sets,-,-,100380
Women Clothes,Lingerie & Underwear,Bras,-,-,100381
Women Clothes,Lingerie & Underwear,Panties,-,-,100382
Women Clothes,Lingerie & Underwear,Thermal Innerwear,-,-,100383
Women Clothes,Lingerie & Underwear,Bra Accessories,Straps,-,100523
Women Clothes,Lingerie & Underwear,Bra Accessories,Paddings,-,100524
Women Clothes,Lingerie & Underwear,Bra Accessories,Nipple Stickers,-,100525
Women Clothes,Lingerie & Underwear,Shapewear,-,-,100385
Women Clothes,Lingerie & Underwear,Safety Pants,-,-,100386
Women Clothes,Lingerie & Underwear,Sexy Lingerie,-,-,100387
Women Clothes,Sleepwear & Pajamas,Pajamas,-,-,100389
Women Clothes,Sleepwear & Pajamas,Night Dresses,-,-,100390
Women Clothes,Sleepwear & Pajamas,Kimonos & Robes,-,-,100391
Women Clothes,Maternity Wear,Nursing Bras,-,-,100393
Women Clothes,Maternity Wear,Maternity Dresses,-,-,100394
Women Clothes,Maternity Wear,Maternity Tops,-,-,100395
Women Clothes,Maternity Wear,Breastfeeding Wear,-,-,100396
Women Clothes,Maternity Wear,Maternity Sets,-,-,100397
Women Clothes,Maternity Wear,Maternity Bottoms,-,-,100398
Women Clothes,Traditional Wear,Tops,-,-,100400
Women Clothes,Traditional Wear,Bottoms,-,-,100401
Women Clothes,Traditional Wear,Sets,-,-,100402
Women Clothes,Traditional Wear,Dresses,-,-,100403
Women Clothes,Traditional Wear,Others,-,-,100404
Women Clothes,Costumes,-,-,-,100115
Women Clothes,Fabric,Cotton,-,-,100407
Women Clothes,Fabric,Wool,-,-,100408
Women Clothes,Fabric,"Velvet, Silk & Satin",-,-,100409
Women Clothes,Fabric,Leather,-,-,100410
Women Clothes,Fabric,Vinyl & Nylon,-,-,100411
Women Clothes,Fabric,Denim,-,-,100412
Women Clothes,Fabric,Canvas,-,-,100413
Women Clothes,Socks & Stockings,Socks,-,-,100417
Women Clothes,Socks & Stockings,Pantyhose,-,-,100418
Men Clothes,Jeans,-,-,-,100047
Men Clothes,Hoodies & Sweatshirts,Hoodies,-,-,100226
Men Clothes,Hoodies & Sweatshirts,Sweatshirts,-,-,100227
Men Clothes,Sweaters & Cardigans,-,-,-,100049
Men Clothes,"Jackets, Coats & Vests",Winter Jackets & Coats,-,-,100229
Men Clothes,"Jackets, Coats & Vests",Jackets,-,-,100230
Men Clothes,"Jackets, Coats & Vests",Vests,-,-,100231
Men Clothes,Suits,Suit Sets,-,-,100233
Men Clothes,Suits,Suit Jackets & Blazers,-,-,100234
Men Clothes,Suits,Suit Pants,-,-,100235
Men Clothes,Suits,Suit Vests & Waistcoats,-,-,100236
Men Clothes,Pants,Cargo,-,-,100238
Men Clothes,Pants,Joggers,-,-,100239
Men Clothes,Pants,Pants,-,-,100240
Men Clothes,Shorts,-,-,-,100053
Men Clothes,Tops,Shirts,-,-,100242
Men Clothes,Tops,Polo Shirts,-,-,100243
Men Clothes,Tops,T-Shirts,-,-,100244
Men Clothes,Tops,Tanks,-,-,100245
Men Clothes,Innerwear & Underwear,Underwear,-,-,100247
Men Clothes,Innerwear & Underwear,Undershirts,-,-,100248
Men Clothes,Innerwear & Underwear,Thermal Innerwear,-,-,100249
Men Clothes,Sleepwear,-,-,-,100056
Men Clothes,Sets,-,-,-,100057
Men Clothes,Traditional Wear,Tops,-,-,100251
